biztanleria,azalera,udalerriaLabel,lurraldeaLabel
410,12.94,Amoroto,Bizkaia
8400,4,Ondarroa,Bizkaia
200,6.33,Mendikota,Zuberoa
14936,69.39,Azpeitia,Gipuzkoa
1821,27.45,Artziniega,Araba
251774,276.81,Gasteiz,Araba
226,34.4,Altzai-Altzabeheti-Zunharreta,Zuberoa
133,13,Zare,Nafarroa
1370,30.43,Bidaxune,Nafarroa Beherea
141,14.07,Ainharbe,Zuberoa
173,11.83,Suhuskune,Nafarroa Beherea
1828,42.53,Bardoze,Lapurdi
3160,17.47,Arrangoitze,Lapurdi
160,8.79,Labetze-Bizkai,Nafarroa Beherea
2743,51.51,Andosilla,Nafarroa
13880,108.2,Oñati,Gipuzkoa
10098,11.2,Zumaia,Gipuzkoa
510,24.8,Bithiriña,Nafarroa Beherea
1467,9,Segura,Gipuzkoa
23323,14.8,Zarautz,Gipuzkoa
6631,10.7,Derio,Bizkaia
979,23.39,Bastida,Nafarroa Beherea
273,12.73,Mehaine,Nafarroa Beherea
1400,16.86,Zuraide,Lapurdi
233,6,Muruzabal,Nafarroa
203,17.52,Lohitzüne-Oihergi,Zuberoa
536,5.73,Fruiz,Bizkaia
19339,58.46,Zornotza,Bizkaia
6822,32.75,Uztaritze,Lapurdi
849,11.64,Donazaharre,Nafarroa Beherea
245,47.12,Altzürükü,Zuberoa
6551,22.49,Kanbo,Lapurdi
77946,11.89,Getxo,Bizkaia
2418,9.47,Lehuntze,Lapurdi
1154,13.95,Jatsu,Lapurdi
469,6.95,Aduna,Gipuzkoa
1042,27.65,Aiherra,Nafarroa Beherea
82,8.87,Ibarrola,Nafarroa Beherea
121,5.85,Orexa,Gipuzkoa
487,41.4,Zirauki,Nafarroa
287,32.77,Mendaza,Nafarroa
100881,29.39,Barakaldo,Bizkaia
329,44.66,Luzaide,Nafarroa
606,21.7,Tebas-Muru Artederreta,Nafarroa
3260,20,Zamudio,Bizkaia
6849,65.08,Senpere,Lapurdi
595,5.08,Haltsu,Lapurdi
6879,77.01,Hazparne,Lapurdi
498,2,Ikaztegieta,Gipuzkoa
7971,81.35,Corella,Nafarroa
1477,69.44,Baigorri,Nafarroa Beherea
53,12.3,Armañantzas,Nafarroa
6734,41.49,Gueñes,Bizkaia
119,13.1,Villamayor de Monjardín,Nafarroa
109,11.86,Zuñiga,Nafarroa
27522,24.78,Eibar,Gipuzkoa
274,14.64,Ahatsa-Altzieta-Bazkazane,Nafarroa Beherea
315,14.69,Donamartiri,Nafarroa Beherea
295,30.3,Eiheralarre,Nafarroa Beherea
10350,96.36,Amurrio,Araba
1838,7.54,Donapaleu,Nafarroa Beherea
62401,42.8,Irun,Gipuzkoa
69,2.11,Ospitalepea,Zuberoa
2651,51.34,Sara,Lapurdi
405,17.27,Armendaritze,Nafarroa Beherea
485,36.43,Oragarre,Nafarroa Beherea
82,17.01,Hauze,Zuberoa
25404,11.66,Biarritz,Lapurdi
2302,122.49,Zuia,Araba
210,11.74,Uhartehiri,Nafarroa Beherea
2219,36.16,Buñuel,Nafarroa
1494,81.08,Guardia,Araba
1318,57.4,Irunberri,Nafarroa
32,10.89,Abaurrepea,Nafarroa
13810,15,Lizarra,Nafarroa
8350,5.82,Bokale,Lapurdi
236,24.06,Muskildi,Zuberoa
3416,28.5,Milagro,Nafarroa
477,11.75,Gotaine-Irabarne,Zuberoa
211,38.8,Erronkari,Nafarroa
6251,7.44,Ziburu,Lapurdi
1073,47,Zeberio,Bizkaia
238,21.21,Arnegi,Nafarroa Beherea
3386,45,Oion,Araba
22001,34.2,Arrasate,Gipuzkoa
670,9.5,Aiziritze-Gamue-Zohazti,Nafarroa Beherea
80,17.08,Hozta,Nafarroa Beherea
52,6,Marañón,Nafarroa
507,5.64,Behaskane-Laphizketa,Nafarroa Beherea
126,9.91,Gamarte,Nafarroa Beherea
162,5.3,Erango,Nafarroa Beherea
128,3.82,Tulebras,Nafarroa
103,17.69,Torralba del Río,Nafarroa
194,15.26,Izura-Azme,Nafarroa Beherea
98,56.29,Galipentzu,Nafarroa
5062,37.77,Agurain,Araba
404,8.31,Lüküze-Altzümarta,Nafarroa Beherea
70,2.19,Jeztaze,Zuberoa
1999,25.39,Mendaro,Gipuzkoa
205,12.04,Duzunaritze-Sarasketa,Nafarroa Beherea
4844,7.68,Hiriburu,Lapurdi
541,14.99,Atharratze-Sorholüze,Zuberoa
36258,215.7,Tutera,Nafarroa
672,16.19,Ainhoa,Lapurdi
74,20.58,Behorlegi,Nafarroa Beherea
45766,3.21,Portugalete,Bizkaia
240,17.85,Arüe-Ithorrotze-Olhaibi,Zuberoa
16484,7.95,Hendaia,Lapurdi
395,147.41,Izaba,Nafarroa
164,41.77,Mendibe,Nafarroa Beherea
2954,12.8,Maule-Lextarre,Zuberoa
14093,19.05,Donibane Lohizune,Lapurdi
333,14.79,Lasa,Nafarroa Beherea
495,9.78,Ezpeize-Ündüreine,Zuberoa
363,9.38,Irulegi,Nafarroa Beherea
102,21.3,Hiriberri,Nafarroa
12160,16.36,Arrigorriaga,Bizkaia
207,17.87,Ligi-Atherei,Zuberoa
4232,33.49,Urduña,Bizkaia
193,72.69,Santa Grazi,Zuberoa
155,8.3,Adios,Nafarroa
19667,37.39,Tolosa,Gipuzkoa
1587,2.73,Donibane Garazi,Nafarroa Beherea
172,58.09,Lekunberri,Nafarroa Beherea
138,2.7,Baliarrain,Gipuzkoa
73,8.23,Etxebarre,Zuberoa
1089,35.26,Sohüta,Zuberoa
970,24.85,Gixune,Lapurdi
761,12.7,Meñaka,Bizkaia
31795,8.36,Leioa,Bizkaia
16828,28.63,Hondarribia,Gipuzkoa
2840,39.7,Gares,Nafarroa
2481,77.48,Ablitas,Nafarroa
38929,26.93,Angelu,Lapurdi
704,8.86,Goizueta,Nafarroa
712,12.71,Bildoze-Onizepea,Zuberoa
2702,146.77,Esteribar,Nafarroa
110,9.35,Ostankoa,Nafarroa Beherea
79,14.12,Desoio,Nafarroa
202,10.65,Jatsu,Nafarroa Beherea
51228,21.68,Baiona,Lapurdi
17016,8.6,Gernika-Lumo,Bizkaia
1250,67,Zeanuri,Bizkaia
717,23.45,Heleta,Nafarroa Beherea
2024,26.85,Ezpeleta,Lapurdi
1222,11.04,Biriatu,Lapurdi
563,31.51,Txulapain,Nafarroa
284,28.86,Landibarre,Nafarroa Beherea
387,12.33,Anhauze,Nafarroa Beherea
112,6.26,Aintzila,Nafarroa Beherea
319,5.78,Aloze-Ziboze-Onizegaine,Zuberoa
306,20.45,Montori,Zuberoa
19096,2.12,Burlata,Nafarroa
174,4.4,Lakarra,Nafarroa Beherea
2233,3.5,Irurtzun,Nafarroa
3662,19.01,Iurreta,Bizkaia
327,7.12,Garai,Bizkaia
345,45.87,Ezterenzubi,Nafarroa Beherea
81,3.43,Lexantzü-Zunharre,Zuberoa
3736,35.6,Bera,Nafarroa
788,18.1,Etxebarria,Bizkaia
6292,20.77,San Adrián,Nafarroa
101,10.08,Gamere-Zihiga,Zuberoa
675,10.33,Sunbilla,Nafarroa
2366,9.6,Aiegi,Nafarroa
2301,18.99,Ahurti,Lapurdi
677,38.2,Bidarrai,Nafarroa Beherea
413,18.08,Larzabale-Arroze-Zibitze,Nafarroa Beherea
1314,12.43,Otxandio,Bizkaia
10204,1.1,Atarrabia,Nafarroa
918,48,Oteitza,Nafarroa
5006,44.79,Markina-Xemein,Bizkaia
209,15.17,Jutsi,Nafarroa Beherea
468,24.07,Munitibar-Arbatzegi-Gerrikaitz,Bizkaia
1465,50.02,Muxika,Bizkaia
40589,7,Basauri,Bizkaia
116,13.3,Arano,Nafarroa
1663,17.77,Gatika,Bizkaia
920,8,Forua,Bizkaia
4284,17.52,Igorre,Bizkaia
20199,1.39,Barañain,Nafarroa
1852,4.15,Mundaka,Bizkaia
362,24,Odieta,Nafarroa
297,14,Zabaltza,Nafarroa
4069,5.43,Beriain,Nafarroa
2033,22,Larrabetzu,Bizkaia
1653,96.57,Ultzama,Nafarroa
366,6.9,Betelu,Nafarroa
10317,50.57,Urruña,Lapurdi
255,4.34,Izurtza,Bizkaia
253,11.75,Nabarniz,Bizkaia
4456,7.8,Urduliz,Bizkaia
152,10.55,Ilharre,Nafarroa Beherea
56,7,El Busto,Nafarroa
236,5.61,Ezkoze,Nafarroa Beherea
252,11.26,Behauze,Nafarroa Beherea
132,96.03,Nabaskoze,Nafarroa
367,11.87,Alkiza,Gipuzkoa
4623,29.9,Berriz,Bizkaia
484,42.3,Pitillas,Nafarroa
549,21.63,Iholdi,Nafarroa Beherea
500,6.87,Garindaine,Zuberoa
411,13.71,Donoztiri,Nafarroa Beherea
29791,10.91,Durango,Bizkaia
270,9.67,Idauze-Mendi,Zuberoa
95,7.56,Ürrüstoi-Larrabile,Zuberoa
3946,83.2,Erriberri,Nafarroa
84,7.17,Ozaze-Zühara,Zuberoa
4194,19.27,Azkaine,Lapurdi
537,18.43,Arrosa,Nafarroa Beherea
158,6,Liginaga-Astüe,Zuberoa
197,126.8,Larraine,Zuberoa
18102,37.56,Laudio,Araba
321,5.82,Azkarate,Nafarroa Beherea
2636,102.42,Orozko,Bizkaia
699,13.26,Samatze,Nafarroa Beherea
11633,55.4,Azkoitia,Gipuzkoa
234,8.16,Martxueta,Nafarroa Beherea
282,3.13,Garrüze,Nafarroa Beherea
157,16.8,Arellano,Nafarroa
256,8.31,Gabadi,Nafarroa Beherea
223,30.03,Donaixti-Ibarre,Nafarroa Beherea
5785,10.2,Gorliz,Bizkaia
2778,137.66,Karrantza,Bizkaia
9728,19.42,Zumarraga,Gipuzkoa
520,13.37,Bidania-Goiatz,Gipuzkoa
518,13.6,Izturitze,Nafarroa Beherea
13880,30.02,Beasain,Gipuzkoa
204,4.01,Zaro,Nafarroa Beherea
505,21.56,Domintxaine-Berroeta,Zuberoa
2133,39.37,Itsasu,Lapurdi
16156,11.34,Pasaia,Gipuzkoa
1320,1.4,Getaria,Lapurdi
527,29.71,Urdiñarbe,Zuberoa
537,28.58,Eskiula,Zuberoa
886,26.39,Irisarri,Nafarroa Beherea
1134,57.67,Los Arcos,Nafarroa
119,10.44,Arrokiaga,Zuberoa
165,8.81,Zalgize-Doneztebe,Zuberoa
673,7.85,Izpura,Nafarroa Beherea
587,19.75,Makea,Lapurdi
268,7.4,Sarrikotapea,Zuberoa
385,22.81,Arrueta-Sarrikota,Nafarroa Beherea
721,36.7,Artzentales,Bizkaia
2492,13.69,Urketa,Lapurdi
130,7.43,Etxarri,Zuberoa
55,21.75,Lerga,Nafarroa
126,12.81,Torres del Río,Nafarroa
131,6.39,Iruri,Zuberoa
7599,36.26,Abadiño,Bizkaia
835,42.38,Ortzaize,Nafarroa Beherea
2688,16.78,Bakio,Bizkaia
2053,10.76,Larresoro,Lapurdi
75,14.39,Mues,Nafarroa
991,15.8,Maruri-Jatabe,Bizkaia
2158,10.56,Ahetze,Lapurdi
10833,2,Antsoain,Nafarroa
806,11.66,Uharte Garazi,Nafarroa Beherea
16765,34.12,Bermeo,Bizkaia
5867,17.74,Villabona-Amasa,Gipuzkoa
2806,31.29,Beskoitze,Lapurdi
350,1.9,Elantxobe,Bizkaia
978,33.9,Akamarre,Nafarroa Beherea
13878,8.4,Sopela,Bizkaia
332,2.3,Sukarrieta,Bizkaia
383,22.39,Mendata,Bizkaia
188,10.65,Larribarre-Sorhapürü,Nafarroa Beherea
887,7.38,Luhuso,Lapurdi
4962,69.8,Zangoza,Nafarroa
